[2025-10-31 13:27:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:27:47.070000+00:00', 'pinned': False, 'nonce': '8820522888401579959', 'mentions': [{'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433138077936779389'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T16:59:04.226000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779482950504479', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@1125160333057724517> - Message deleted! Because LedMasker dislikes it.', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'MyDcBot', 'public_flags': 0, 'primary_guild': None, 'id': '1433136113056485517', 'global_name': None, 'display_name_styles': None, 'discriminator': '4958', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:47] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:27:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-10-31 13:27:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-31 13:27:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:27:50.181000+00:00', 'pinned': False, 'nonce': '1433779495818493952', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779495998984214', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'duck', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:50] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:27:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1433779482950504479', 'channel_id': '1206592169897623555', 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:52] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-31 13:27:52] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-31 13:27:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:27:54.975000+00:00', 'pinned': False, 'nonce': '1433779515447836672', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779516106604668', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'duckker', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:55] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:27:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:27:56.593000+00:00', 'pinned': False, 'nonce': '1433779522494267392', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779522892730461', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'digger', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:56] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:27:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:27:58.975000+00:00', 'pinned': False, 'nonce': '1433779532459933696', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779532883820717', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'digga', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
[2025-10-31 13:27:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:27:59] [DEBUG   ] discord.client: Dispatching event message
[2025-10-31 13:28:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 12, 'op': 0, 'd': {'id': '1433779532883820717', 'channel_id': '1206592169897623555', 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:04] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-31 13:28:04] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-31 13:28:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 13, 'op': 0, 'd': {'id': '1433779522892730461', 'channel_id': '1206592169897623555', 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:08] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-31 13:28:08] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-31 13:28:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 14, 'op': 0, 'd': {'id': '1433779516106604668', 'channel_id': '1206592169897623555', 'guild_id': '1206592169897623552'}}
[2025-10-31 13:28:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-31 13:28:15] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-31 13:28:15] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-31 13:28:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 15, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-31T11:28:21.953000+00:00', 'pinned': False, 'nonce': '1433779628467552256', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433502258146050088'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-12T13:26:30.720000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433779629260279828', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'd_uck', 'components': [], 'channel_type': 0, 'channel_id': '1206592169897623555', 'author': {'username': 'ledmasker_', 'public_flags': 64, 'primary_guild': None, 'id': '1125160333057724517', 'global_name': 'Led MASKER', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'attachments': [], 'guild_id': '1206592169897623552'}}
